,Aktywa razem/Kapitał własnyj (%),Wskaźnik rotacji kapitału obrotowego (x),Kapitał obrotowy,Obrót aktywów bieżących (x),Gotówka netto,Stopa zwrotu z kapitału własnego (ROE) (%),Kapitał własny ogółem,Wskaźnik rotacji aktywów (x),Operacyjny wskaźnik rentowności aktywów (%),Zwrot z kapitału zaangażowanego (%),into_default,Wiek firmy (lata)
36690,212.55,6.6,1746833.74,2.97,-2151980.0,11.11,2250161.0,2.41,7.23,13.09,0,13.0
36691,149.82,5.52,2072674.16,3.6,-2144043.0,10.15,4754614.0,1.6,9.3,11.0,0,13.0
36692,173.1,6.4,1823933.46,2.42,-585042.0,30.57,5077860.0,1.33,21.83,33.1,0,21.0
36693,122.7,4.23,2773432.47,3.22,512484.0,29.67,8185048.0,1.17,24.58,26.93,0,5.0
36694,157.04,4.83,2394107.63,2.7,-3629761.0,2.24,8077442.0,0.91,3.02,3.55,0,21.0
36695,101.27,4.85,2414203.85,4.68,1363602.0,9.53,7060022.0,1.64,9.38,9.5,0,19.0
36696,123.01,3.35,3503603.89,2.54,1044810.0,31.23,5160076.0,1.85,31.49,38.13,0,5.0
36697,271.8,14.06,830297.54,4.46,-1681393.0,16.95,1170827.0,3.67,9.19,21.0,0,13.0
36698,153.82,4.48,2594604.14,3.07,-1483548.0,5.2,4296250.0,1.76,5.31,6.47,0,18.0
36699,184.82,3.63,3212091.48,1.93,-1659911.0,16.31,3323738.0,1.9,10.46,19.33,0,15.0
36700,154.56,2.66,3914036.1,1.54,-2950787.0,0.41,5448473.0,1.24,2.82,4.27,0,20.0
36701,810.69,80.35,146217.84,7.74,-1348827.0,97.9,197590.0,7.33,15.27,106.27,0,2.0
36702,269.76,9.62,1218633.25,2.76,-2489059.0,27.82,1812146.0,2.4,12.96,34.1,0,21.0
36703,109.54,5.61,2068005.05,3.14,-768259.0,1.08,30952026.0,0.34,1.06,1.12,0,21.0
36704,286.5,8.16,1370383.53,2.07,-2942199.0,24.88,2263920.0,1.72,11.61,30.64,0,6.0
36705,110.04,1.42,8173639.48,1.27,7103973.0,13.54,9593018.0,1.1,11.48,12.58,0,21.0
36706,175.53,17.24,666566.26,7.32,-903485.0,14.0,1195668.0,5.47,8.54,14.99,0,21.0
36707,143.38,7.78,1502732.3,4.46,-1117575.0,38.95,2574715.0,3.17,28.06,40.23,0,20.0
36708,189.67,28.81,406696.48,11.83,-247560.0,-9.23,726385.0,8.5,-4.39,-7.61,0,19.0
36709,135.9,4.89,2348899.1,3.55,338836.0,42.24,4102971.0,2.06,31.1,37.0,0,9.0
36710,241.61,11.81,986869.59,2.34,-2971540.0,20.57,2911377.0,1.66,9.89,22.91,1,12.0
36711,832.9,17.86,657107.18,6.33,-1577230.0,69.22,223309.0,6.31,8.89,24.94,1,12.0
36712,228.86,6.91,1687795.76,2.8,-5964530.0,19.95,4758024.0,1.07,12.52,16.2,0,8.0
36713,230.08,10.99,1034036.29,3.19,-6239270.0,17.74,4956635.0,1.0,10.4,13.35,0,19.0
36714,328.32,18.75,623711.37,5.13,-1154560.0,21.29,725745.0,4.91,8.16,26.8,0,6.0
36715,187.38,4.39,2659996.59,2.15,-1116350.0,8.43,3196230.0,1.95,6.36,11.86,0,12.0
36716,198.51,-21.61,-540796.12,9.94,-1687107.0,10.96,1784491.0,3.3,9.21,17.85,1,17.0
36717,135.08,9.66,1179597.29,6.85,932719.0,54.94,1379924.0,6.11,48.4,65.37,0,12.0
36718,231.46,93.12,125870.75,17.72,-517104.0,32.79,407310.0,12.43,18.81,43.53,0,15.0
36719,148.5,28.1,416704.97,7.33,-752612.0,6.0,2707033.0,2.91,5.01,7.1,0,21.0
36720,155.59,-7.59,-1542836.45,2.05,-5793132.0,30.68,13210437.0,0.57,20.28,31.34,0,20.0
36721,238.25,9.78,1170165.37,4.62,-920514.0,37.8,1246151.0,3.85,22.8,40.65,0,19.0
36722,103.71,0.6,19372055.42,0.58,379889.0,36.45,21327012.0,0.53,34.76,35.97,0,5.0
36723,159.64,5.87,1963526.57,3.24,-1375933.0,-10.34,4813371.0,1.5,-7.48,-9.44,0,20.0
36724,111.95,2.08,5478722.58,1.76,2609694.0,15.97,9253518.0,1.1,15.62,17.26,0,20.0
36725,250.15,16.5,708432.77,2.1,-4271666.0,8.58,3451402.0,1.35,5.38,12.29,0,20.0
36726,141.63,5.87,1988889.56,4.13,-606701.0,29.7,2015579.0,4.09,30.73,43.53,0,11.0
36727,149.8,4.34,2701082.68,2.81,129663.0,19.22,2997758.0,2.56,15.54,22.79,0,15.0
36728,274.9,9.89,1177574.88,2.4,-3027349.0,61.77,2106442.0,2.01,26.94,73.95,0,19.0
36729,106.23,2.75,4184059.82,2.61,2155166.0,15.73,5204048.0,2.04,25.82,26.94,0,21.0
36730,104.61,2.39,4862330.98,2.25,1643475.0,18.54,7808127.0,1.42,21.53,22.37,0,16.0
36731,124.82,6.14,1904161.91,4.91,-4533.0,24.97,1918940.0,4.88,26.69,33.31,0,19.0
36732,165.8,8.63,1339928.46,4.44,-1078099.0,27.27,2028915.0,3.44,20.89,33.48,0,8.0
36733,169.2,7.91,1479339.49,4.9,-981823.0,30.38,1418180.0,4.87,22.2,35.72,0,10.0
36734,144.59,4.57,2558699.58,3.11,-1258916.0,22.39,2822062.0,2.86,20.43,28.89,0,11.0
36735,174.35,6.96,1681668.7,3.97,90943.0,99.37,1704077.0,3.94,70.63,123.14,0,18.0
36736,126.99,29.02,389857.78,22.82,316740.0,47.62,392176.0,22.7,47.39,60.18,0,7.0
36737,314.96,17.13,678917.06,4.58,-1318371.0,19.95,865797.0,4.26,7.67,24.14,1,9.0
36738,228.23,12.03,971072.62,4.63,-1553460.0,7.61,1210900.0,4.23,0.0,0.0,0,19.0
36739,117.49,1.61,7180911.03,1.37,3171692.0,8.61,7695761.0,1.28,9.24,10.74,0,21.0
36740,111.86,13.54,859484.43,10.48,424167.0,41.68,2115483.0,4.92,46.05,51.51,0,9.0
36741,251.52,5.13,2260135.57,2.07,-4176994.0,17.68,2761430.0,1.67,9.42,18.17,0,19.0
36742,120.67,5.42,2142371.43,1.95,-4972423.0,1.04,37171020.0,0.26,0.78,0.86,0,20.0
36743,169.34,2.04,5601254.62,1.32,-4853203.0,11.7,7753032.0,0.87,10.13,13.14,0,13.0
36744,133.6,8.84,1320254.76,5.02,-885527.0,12.15,2994398.0,2.92,8.58,11.47,0,17.0
36745,185.51,5.12,1995699.36,2.09,-4391522.0,21.11,6922753.0,0.8,12.3,15.89,0,18.0
36746,153.32,4.45,2618091.07,2.18,-913821.0,36.33,5936155.0,1.28,29.26,41.72,0,6.0
36747,164.41,7.02,1617478.51,2.79,-2583426.0,7.12,4352507.0,1.55,4.77,7.16,0,21.0
36748,178.7,7.04,1645035.24,3.82,-1269036.0,33.62,1918482.0,3.38,20.0,33.52,0,15.0
36749,114.85,2.36,4531010.15,1.85,967636.0,13.7,16372681.0,0.57,13.87,14.85,0,11.0
36750,176.51,4.61,2531551.74,2.39,-2357834.0,92.34,3080247.0,2.15,52.42,92.53,0,20.0
36751,159.32,7.77,1496757.86,4.66,-1000807.0,75.14,1686441.0,4.33,59.85,95.35,0,10.0
36752,270.92,7.5,1482984.11,3.6,-1885669.0,89.47,1263175.0,3.25,40.77,76.77,0,6.0
36753,204.86,15.66,702100.75,4.33,-1431223.0,35.1,1780316.0,3.01,21.05,42.46,0,15.0
36754,135.55,4.63,2517446.35,3.14,-81223.0,25.85,3992350.0,2.15,22.93,29.43,0,16.0
36755,317.81,1.9,4786925.04,1.31,-11685515.0,18.85,5508516.0,0.52,5.32,6.06,0,21.0
36756,190.29,7.28,1596553.65,3.02,-2249998.0,45.54,2490638.0,2.45,28.32,53.89,0,14.0
36757,516.38,6.93,1641288.93,1.55,-6371684.0,35.32,1621614.0,1.36,9.02,28.09,0,12.0
36758,107.99,6.12,1902631.14,5.66,1471750.0,47.56,1946054.0,5.54,66.44,71.75,0,8.0
36759,139.73,1.71,6475430.45,1.31,-2973715.0,0.24,8712818.0,0.91,1.97,2.34,0,21.0
36760,285.54,13.47,860349.68,4.96,-1527502.0,18.38,1227878.0,3.3,9.44,16.31,1,8.0
36761,163.02,17.29,673210.95,8.8,-312178.0,38.49,1093001.0,6.53,29.04,45.69,0,14.0
36762,250.84,5.42,2111566.7,2.78,-2494821.0,53.25,1630793.0,2.76,25.45,49.23,0,16.0
36763,410.71,21.58,535058.15,5.35,-883769.0,106.05,546473.0,5.14,34.44,123.98,0,14.0
36764,116.41,4.94,2350614.92,2.37,730754.0,1.76,15463872.0,0.64,1.59,1.85,0,21.0
36765,149.04,2.92,3869151.09,2.17,-1621991.0,2.25,3639345.0,2.08,3.26,4.33,0,20.0
36766,289.56,19.54,594749.76,5.87,-1256669.0,49.97,730090.0,5.5,23.27,67.38,0,5.0
36767,207.76,9.42,1234070.97,4.42,-1390988.0,70.29,1296450.0,4.31,43.22,89.8,0,11.0
36768,154.61,3.95,2794545.66,2.19,-507840.0,41.7,4421480.0,1.61,30.38,45.08,0,16.0
36769,282.25,10.51,1093632.74,3.14,-2661539.0,0.94,1459687.0,2.79,1.1,2.92,0,6.0
36770,185.51,10.05,1130319.06,2.65,-3555769.0,1.85,4446267.0,1.38,4.05,6.57,0,21.0
36771,208.31,-77.05,-149335.91,4.98,-2480990.0,30.53,2289574.0,2.41,20.06,41.43,0,12.0
36772,116.13,4.54,2504965.19,3.26,-423700.0,13.4,6110031.0,1.6,15.24,17.69,0,21.0
36773,108.26,0.84,10133767.39,0.59,-1552741.0,5.14,110822169.0,0.07,4.5,4.67,0,18.0
36774,271.1,5.97,1939070.54,4.94,-1499795.0,63.88,876120.0,4.87,29.4,35.43,0,5.0
36775,223.2,11.39,1005755.95,3.19,-2712216.0,59.48,2530440.0,2.03,34.2,62.96,0,1.0
36776,108.59,2.61,4447668.41,2.4,-403711.0,56.72,4698288.0,2.28,52.71,57.24,0,11.0
36777,208.98,10.64,1086003.58,4.86,-570950.0,55.04,1184213.0,4.66,32.75,68.44,0,19.0
36778,407.82,9.09,1234431.73,3.37,-3381319.0,45.35,1754999.0,1.57,14.77,20.88,1,12.0
36779,356.33,18.1,641453.93,3.08,-3306119.0,29.21,1355733.0,2.4,13.18,37.46,0,10.0
36780,203.36,10.61,1089475.44,4.42,-594226.0,10.21,1795475.0,3.16,6.23,10.71,0,21.0
36781,143.72,3.44,3278842.36,2.36,-1629675.0,1.64,4798082.0,1.63,1.95,2.48,0,5.0
36782,218.86,8.88,1278820.14,3.24,-2201582.0,21.89,1969949.0,2.57,10.98,22.12,0,21.0
36783,226.53,11.86,976072.9,3.76,-2824014.0,3.07,2314959.0,2.21,3.0,5.02,0,21.0
36784,161.14,11.35,940164.39,2.72,-8003275.0,15.8,13107324.0,0.5,12.25,14.26,0,20.0
36785,143.8,3.7,3138550.87,2.51,-1489604.0,19.05,3399334.0,2.38,18.12,26.05,0,16.0
36786,141.24,2.96,3914462.08,2.03,98346.0,46.36,4556633.0,1.8,41.25,56.99,0,19.0
36787,136.97,4.14,2796695.87,2.79,1016659.0,104.31,3654859.0,2.31,93.96,128.69,0,5.0
36788,252.51,3.29,3404727.37,1.33,-75305.0,16.02,3496876.0,1.27,8.03,18.47,0,16.0
36789,116.78,2.35,4920258.94,1.69,-1281477.0,-1.45,11830923.0,0.84,-3.2,-3.72,0,21.0
36790,119.57,1.6,7250791.1,1.27,-1729425.0,2.64,9425865.0,1.03,2.87,3.43,0,19.0
36791,160.41,6.2,1866840.17,4.76,-490230.0,14.87,1670611.0,4.32,10.8,13.71,0,20.0
36792,115.12,2.47,4682498.26,1.81,-8129019.0,0.28,58555156.0,0.17,0.17,0.17,0,21.0
36793,106.62,4.29,2688794.65,2.6,436711.0,12.38,42736958.0,0.25,11.92,12.4,0,21.0
36794,212.66,2.96,3329907.94,1.15,-6004432.0,-5.68,8083260.0,0.57,-2.78,-3.99,1,14.0
36795,136.7,3.57,3247010.11,2.41,-1592790.0,4.91,5286978.0,1.6,5.11,6.51,0,21.0
36796,263.26,16.07,719609.91,3.37,-2756449.0,26.76,1689425.0,2.6,11.16,28.59,0,21.0
36797,173.18,-61.59,-187451.37,6.28,-2826375.0,13.57,4114261.0,1.62,12.76,17.83,1,5.0
36798,203.49,9.35,1206651.38,3.72,-1318610.0,10.58,2066160.0,2.68,10.64,18.82,1,21.0
36799,132.67,1.78,6389935.54,1.48,490802.0,-2.64,6793150.0,1.26,-2.26,-2.64,0,19.0
36800,303.25,40.94,277162.75,5.95,-1982089.0,87.65,998249.0,3.75,30.78,66.63,1,18.0
36801,131.76,10.5,1098384.03,1.54,-4383056.0,2.0,20987996.0,0.42,0.68,0.88,1,20.0
36802,177.76,5.11,2263609.68,2.84,-1813660.0,37.34,2331301.0,2.79,26.45,47.02,0,2.0
36803,158.05,2.83,3768840.43,1.2,-164056.0,15.42,12473742.0,0.54,11.88,16.04,0,21.0
36804,171.23,4.77,2410536.63,2.22,-3166570.0,12.44,4551115.0,1.47,9.37,14.52,0,20.0
36805,106.5,3.8,3016223.45,3.53,242668.0,17.17,3510583.0,3.06,19.51,20.78,0,18.0
36806,118.11,1.54,7081860.48,1.29,1098221.0,10.89,7534286.0,1.22,13.85,16.35,0,10.0
36807,131.83,3.55,3238554.2,2.62,45276.0,16.32,3911130.0,2.23,15.15,19.45,0,18.0
36808,263.69,9.77,1165179.0,2.83,-2678423.0,72.77,1765491.0,2.45,35.41,91.41,1,6.0
36809,168.11,3.63,3163297.95,2.63,-1709110.0,35.82,2921507.0,2.33,27.98,37.0,0,19.0
36810,112.09,3.17,3634196.72,2.78,1342123.0,16.69,4853954.0,2.12,17.05,18.8,0,10.0
36811,217.99,3.86,2942690.25,1.99,-3313006.0,8.51,2951477.0,1.77,5.28,9.29,0,12.0
36812,240.77,3.94,2937037.26,1.62,-3101499.0,14.64,2925603.0,1.61,7.19,17.31,0,16.0
36813,200.77,8.64,1336282.85,4.21,-995100.0,30.81,1366019.0,4.13,17.0,34.13,0,21.0
36814,201.57,3.86,2977676.65,1.91,-3041234.0,25.66,2992663.0,1.91,17.93,36.14,0,4.0
36815,357.84,2.55,4440928.48,1.65,-4227395.0,61.96,1954631.0,1.62,22.69,34.66,0,9.0
36816,106.78,2.42,4761240.05,2.22,304089.0,21.93,6333494.0,1.7,20.93,22.34,0,21.0
36817,156.73,6.76,1697584.82,3.52,-568240.0,26.66,2759894.0,2.65,21.96,34.36,0,8.0
36818,375.77,16.85,684014.03,3.43,-2621363.0,94.29,971665.0,3.16,29.23,109.79,0,9.0
36819,234.69,8.05,1411346.38,1.97,-5932151.0,10.52,4457350.0,1.08,7.14,12.23,1,5.0
36820,495.17,10.32,1117096.72,3.71,-4142170.0,29.63,1056517.0,2.2,7.71,12.44,1,10.0
36821,222.48,6.15,1828540.88,2.15,-2736752.0,6.3,2806492.0,1.8,4.59,10.08,0,20.0
36822,174.68,6.25,1841703.01,2.85,-2940363.0,5.53,4137170.0,1.59,5.93,8.53,0,20.0
36823,117.65,1.16,9885487.36,0.97,5313040.0,22.6,10928359.0,0.89,18.56,21.83,0,20.0
36824,109.01,2.24,4827699.05,1.88,-907812.0,17.75,15017129.0,0.66,16.38,17.37,0,21.0
36825,125.41,3.38,3294341.54,2.35,-40630.0,19.69,5748057.0,1.54,15.2,18.97,0,3.0
36826,230.66,8.28,1387017.91,3.07,-5594431.0,4.78,4402630.0,1.13,2.11,2.74,0,10.0
36827,212.35,3.73,3073058.57,2.48,-2489629.0,12.54,2214953.0,2.43,15.29,22.82,0,6.0
36828,199.22,20.63,558339.25,4.35,-983417.0,30.42,2198452.0,2.63,20.06,38.3,0,8.0
36829,147.12,17.56,655586.57,9.65,-569715.0,18.11,1208504.0,6.47,15.33,21.97,0,18.0
36830,212.23,20.49,549813.21,5.18,-1186784.0,1.78,1447821.0,3.67,2.72,5.77,0,10.0
36831,169.4,4.17,2761315.26,2.37,83205.0,11.47,3026453.0,2.24,7.51,12.72,0,15.0
36832,170.22,12.91,886332.55,5.21,-754602.0,64.59,2852924.0,2.36,45.85,62.75,0,3.0
36833,127.2,-7.6,-1492454.76,2.34,-2546697.0,1.9,23817727.0,0.37,1.32,1.67,0,21.0
36834,120.24,7.32,1564901.78,2.05,-3099805.0,2.78,19918200.0,0.48,3.04,3.66,0,21.0
36835,2364.1,7.91,1430391.59,2.82,-2776334.0,493.3,203368.0,2.35,24.01,51.84,0,9.0
36836,327.07,23.41,489757.85,6.82,-1191375.0,64.48,524419.0,6.68,24.93,81.53,0,2.0
36837,183.37,5.87,1894823.13,2.3,-2941526.0,21.22,3527097.0,1.72,14.16,25.96,0,21.0
36838,203.92,4.38,2622542.8,2.21,-2108372.0,19.44,2733452.0,2.06,12.49,23.26,0,9.0
